"fiber","carb","total_fat","gender","age","education","income"
37.923,464.415,105.78,"Male",74,"illiterate_elementary","I"
36.477,328.256,84.339,"Male",79,"high_university","IV"
24.061,212.584,94.691,"Male",69,"illiterate_elementary","II"
21.921,223.297,83.379,"Male",68,"illiterate_elementary","III"
10.219,191.895,73.994,"Male",71,"high_university","I"
20.778,168.613,62.574,"Female",75,"illiterate_elementary","I"
12.391,160.062,77.001,"Female",67,"illiterate_elementary","I"
8.862,128.112,53.042,"Female",69,"illiterate_elementary","I"
17.627,258.669,96.417,"Male",89,"illiterate_elementary","I"
16.659,223.131,92.076,"Male",70,"high_university","I"
8.202,184.411,92.01,"Female",75,"illiterate_elementary","I"
17.551,141.837,20.948,"Female",60,"high_university","II"
11.872,142.948,51.857,"Female",60,"illiterate_elementary","I"
12.662,155.436,44.231,"Female",65,"high_university","II"
16.272,205.707,56.083,"Female",73,"illiterate_elementary","I"
26.125,179.137,39.047,"Male",65,"high_university","III"
19.113,174.624,27.549,"Male",60,"illiterate_elementary","II"
7.896,162.917,58.833,"Female",78,"illiterate_elementary","II"
12.872,141.828,76.215,"Female",61,"high_university","II"
16.187,120.953,41.28,"Female",75,"illiterate_elementary","I"
24.564,272.921,61.183,"Male",62,"illiterate_elementary","I"
21.185,384.802,81.06,"Female",79,"high_university","IV"
11.576,560.23,84.249,"Male",63,"high_university","II"
13.211,204.274,60.033,"Male",72,"illiterate_elementary","I"
14.89,197.298,40.035,"Female",62,"illiterate_elementary","I"
25.629,277.738,232.55,"Male",73,"illiterate_elementary","II"
8.743,164.314,43.833,"Female",71,"illiterate_elementary","II"
12.242,117.647,98.505,"Male",65,"high_university","III"
22.386,245.947,58.708,"Female",65,"high_university","III"
12.696,261.369,58.56,"Female",65,"illiterate_elementary","I"
14.157,260.014,117.265,"Female",69,"illiterate_elementary","I"
6.243,82.399,33.412,"Male",73,"illiterate_elementary","I"
24.357,167.114,25.926,"Female",67,"high_university","II"
14.755,297.862,127.832,"Female",79,"illiterate_elementary","I"
20.989,293.112,133.149,"Female",70,"illiterate_elementary","I"
17.251,307.575,132.603,"Male",78,"illiterate_elementary","I"
25.199,226.891,72.265,"Female",67,"high_university","II"
29.456,326.978,110.4,"Male",63,"high_university","III"
16.266,171.052,40.04,"Female",64,"illiterate_elementary","II"
10.623,129.299,81.525,"Female",73,"high_university","IV"
17.977,376.11,62.427,"Female",73,"illiterate_elementary","I"
10.813,156.026,117.19,"Female",65,"high_university","I"
26.568,203.076,96.391,"Male",64,"high_university","I"
24.66,399.408,171.621,"Male",68,"high_university","I"
22.527,179.641,68.611,"Female",79,"illiterate_elementary","I"
7.788,170.64,46.464,"Female",85,"illiterate_elementary","I"
15.957,167.403,83.617,"Male",64,"illiterate_elementary","I"
20.652,376.485,65.32,"Female",62,"illiterate_elementary","I"
29.258,335.437,210.041,"Male",60,"illiterate_elementary","I"
3.763,137.106,96.409,"Male",82,"illiterate_elementary","I"
16.966,181.935,20.432,"Female",68,"illiterate_elementary","I"
27.791,326.937,80.318,"Female",69,"illiterate_elementary","I"
27.331,301.58,70.923,"Female",72,"illiterate_elementary","II"
41.02,242.552,69.857,"Female",72,"illiterate_elementary","I"
